id,name,state_id
32095,Caracas,94
32096,Maracaibo,105
32097,Valencia,90
32098,Barquisimeto,95
32099,Maracay,87
33100,Ciudad Guayana,89
33101,Barcelona,85
33102,San Cristóbal,102
33103,Maturín,97
33104,Mérida,98
33105,Ciudad Bolívar,89
33106,Los Teques,96
33107,Barinas,88
33108,Cumaná,100
33109,Cabimas,105
33110,Puerto Cabello,90
33111,El Tigre,85
33112,Punto Fijo,106
33113,Coro,106
33114,El Vigía,96
33115,Guacara,90
33116,Guanare,99
33117,Ciudad Ojeda,105
33118,Guatire,96
33119,Naguanagua,90
33120,Ejido,98
33121,San Diego,90
33122,Los Guayos,90
33123,Santa Teresa del Tuy,96
33124,San Fernando de Apure,86
33125,Calabozo,94
33126,La Victoria,87
33127,Carùpano,100
33128,Araure,99
33129,Ocumare del Tuy,96
33130,San Juan de los Morros,94
33131,Cúa,96
33132,Táriba,102
33133,Valle de la Pascua,94
33134,Anaco,85
33135,Upata,89
33136,Cagua,87
33137,Altagracia de Orituco,94
33138,Guasdalito,86
33139,Yaritagua,104
